CompletedServiceID,LocServID,DateCompleted,ScheduledRouteID,CustomerID,LocationID,Serv_CallCharge,Serv_Hourly,Serv_HourlyRate,FirstHourChargeRate,TotalTime,Service_Type,Service_BillType,QualityScore,GHScore
3679712,1014706,2026-03-01 05:00:00,193692,70770,59284,0,0,0,0,0,3,2,-1,-1
3679713,1018589,2026-03-01 05:00:00,193692,97675,67138,0,0,0,0,0,3,2,-1,-1
3679714,1014783,2026-03-01 05:00:00,193692,30892,43536,0,0,0,0,0,4,2,-1,-1
3679715,1018476,2026-03-01 05:00:00,193692,109316,80509,0,0,0,0,0,3,2,-1,-1
3679716,1017137,2026-03-01 05:00:00,193692,64935,54279,0,0,0,0,0,3,1,-1,-1
3679717,1021533,2026-03-01 05:00:00,193692,103101,73541,0,0,0,0,0,3,3,-1,-1
3679718,1021889,2026-03-01 05:00:00,193692,50574,62630,0,0,0,0,0,3,2,-1,-1
3679719,1015873,2026-03-01 05:00:00,193692,108113,79203,0,0,0,0,0,3,2,-1,-1
3679720,1016736,2026-03-01 05:00:00,193692,109196,80382,0,0,0,0,0,3,2,-1,-1
3679721,1014835,2026-03-01 05:00:00,193692,103816,74329,0,0,0,0,0,3,1,-1,-1
3679722,1016798,2026-03-01 05:00:00,193692,44842,33478,823.53,0,0,0,0,4,1,-1,-1
3679723,1014761,2026-03-01 05:00:00,193692,100394,70447,0,0,0,0,0,3,1,-1,-1
3679724,1021712,2026-03-01 05:00:00,193692,62789,51925,0,0,0,0,0,3,2,-1,-1
3679725,1020663,2026-03-01 05:00:00,193692,86606,63893,0,0,0,0,0,3,2,-1,-1
3679726,1021062,2026-03-01 05:00:00,193692,103727,74231,0,0,0,0,0,3,3,-1,-1
3679727,1019855,2026-03-01 05:00:00,193692,100610,70712,0,0,0,0,0,3,2,-1,-1
3679728,1016032,2026-03-01 05:00:00,193692,43422,31565,0,0,0,0,0,3,1,-1,-1
3679729,1021344,2026-03-01 05:00:00,193692,106124,76941,0,0,0,0,0,3,2,-1,-1
3679730,1021890,2026-03-01 05:00:00,193692,68830,58371,0,0,0,0,0,3,2,-1,-1
3679731,1019543,2026-03-01 05:00:00,193692,22982,3317,0,0,0,0,0,3,1,-1,-1
3679732,1014664,2026-03-01 05:00:00,193692,107816,78866,0,0,0,0,0,3,2,-1,-1
3679733,1020292,2026-03-01 05:00:00,193692,96961,66645,0,0,0,0,0,3,2,-1,-1
3679734,1016023,2026-03-01 05:00:00,193692,104412,74990,0,0,0,0,0,3,2,-1,-1
3679735,1018496,2026-03-01 05:00:00,193692,86970,63984,0,0,0,0,0,3,2,-1,-1
