CustomerID,Cust_Type,Cust_Status,Cust_City,Cust_State,Cust_Zip,DateCreated
20067,0,1,St Louis Park,MN,55426,2003
20072,0,1,Minnetonka,MN,55345,2001
20078,0,1,Bloomington,MN,55438,2003
20110,0,1,Plymouth,MN,55446,2003
20116,0,1,Eden Prairie,MN,55346,2003
20121,0,1,Minneapolis,MN,55404,2003
20153,0,0,Minnetonka,MN,55305,2003
20161,0,0,Edina,MN,55424,1999
20169,0,1,Edina,MN,55439,2003
20174,0,1,Eden Prairie,MN,55347,2000
20184,0,0,Minneapolis,MN,55417,2003
20243,0,0,Minneapolis,MN,55416,1999
20275,0,1,Eden Prairie,MN,55346,2003
20286,0,1,Golden Valley,MN,55422,2003
20297,0,1,Minnetonka,MN,55345,2002
20350,0,1,Edina,MN,55424,2001
20408,0,1,Edina,MN,55424,2003
20478,0,1,Minnetonka,MN,55305,2001
20518,0,0,Bloomington Mn,MN,55438,2003
20529,0,1,Excelsior,MN,55331,2000
20581,0,1,Edina,MN,55424,2001
20627,0,1,White Bear Lake,MN,55110,1999
20665,0,1,Eden Prairie,MN,55346,2003
20667,0,1,Eden Prairie,MN,55346,2001
20690,0,1,Minneapolis,MN,55417,2003
20698,0,1,Eden Prairie,MN,55346,2003
20704,0,1,Minneapolis,MN,55419,2000
20713,0,1,Excelsior,MN,55331,2003
20743,0,0,Bloomington,MN,55420,2000
20811,0,1,Deephaven,MN,55391,2002
20822,0,0,Edina,MN,55436,1999
20826,0,1,Edina,MN,55424,2003
20832,0,1,Minneapolis,MN,55410,2001
20840,0,1,Plymouth,MN,55446,2003
20874,0,1,Minneapolis,MN,55419,2003
20951,0,1,St Louis Park,MN,55416,2003
20964,0,1,Minneapolis,MN,55410,2001
20983,0,1,Hopkins,MN,55305,2002
20988,0,1,Edina,MN,55410,2003
21016,0,1,Minneapolis,MN,55419,2001
21030,0,1,Edina,MN,55436,2003
21069,0,1,Edina,MN,55436,2003
21082,0,1,St Paul,MN,55105,2003
21083,0,1,Minneapolis,MN,55406,2003
21085,0,0,Wayzata,MN,55391,2002
21105,0,1,Wayzata,MN,55391,2002
21125,0,1,EDEN PRAIRIE,MN,55347,2003
21133,0,1,Richfield,MN,55423,2000
21156,0,1,Edina,MN,55436,2001
21205,0,1,Edina,MN,55424,2002
21210,0,1,Edina,MN,55424,2003
21217,0,1,Minneapolis,MN,55419,2002
21222,0,1,Eden Prairie,MN,55347,1999
21253,0,1,Chanhassen,MN,55317,2002
21257,0,1,Minneapolis,MN,55409,2000
21273,0,1,Edina,MN,55424,2000
21333,0,1,Eden Prairie,MN,55344,2002
21342,0,0,Edina,MN,55435,2002
21351,0,1,Woodbury,MN,55125,2003
21374,0,1,Edina,MN,55439,2002
21418,0,1,Eagan,MN,55123,1999
21427,0,1,Edina,MN,55436,2001
21442,0,1,St Paul,MN,55116,2002
21454,0,1,Greensboro,GA,30642,2003
21467,0,1,Minnetonka,MN,55305,2003
21475,0,1,Edina,MN,55424,2002
21500,0,0,Fort Myers,FL,33912,2003
21508,0,1,Edina,MN,55424,2003
21527,0,1,Edina,MN,55435,2003
21547,0,0,Crystal,MN,55427,2001
21563,0,1,Minneapolis,MN,55419,2002
21568,0,1,Minnetonka,MN,55345,2003
21575,0,0,Eden Prairie,MN,55347,2003
21601,0,1,Bloomington,MN,55437,2000
21635,0,1,Edina,MN,55436,2001
21645,0,0,Edina,MN,55424,2003
21651,0,1,Edina,MN,55436,2001
21654,0,0,St Louis Park,MN,55416,2002
21679,0,1,Bloomington,MN,55431,2000
21688,0,1,Minneapolis,MN,55419,2000
21721,0,1,Plymouth,MN,55441,2003
21765,0,0,Minneapolis,MN,55401,2000
21862,0,0,Edina,MN,55436,2003
21878,0,1,St Louis Park,MN,55416,2002
21902,0,0,Edina,MN,55424,2003
21919,0,1,Minneapolis,MN,55424,2003
21929,0,1,Minneapolis,MN,55419,2003
21952,0,1,Plymouth,MN,55446,2003
21963,0,1,St Louis Park,MN,55416,2003
21978,0,1,Eden Prairie,MN,55347,2000
21981,0,1,Eden Prairie,MN,55347,2003
22013,0,1,Plymouth,MN,55447,2002
22021,0,0,Wayzata,MN,55391,1999
22037,0,1,Edina,MN,55436,2001
22057,0,1,St. Paul,MN,55105,2003
22090,0,1,Golden Valley,MN,55427,2000
22111,0,0,Victoria,MN,55386,2002
22131,0,1,Edina,MN,55436,2001
22153,0,1,Plymouth,MN,55447,2003
22179,0,1,Eden Prairie,MN,55347,2003
22206,0,0,Edina,MN,55436,2000
22214,0,1,St Paul,MN,55105,2002
22233,0,1,Bloomington,MN,55431,2001
22256,0,1,Eden Prairie,MN,55347,2001
22276,0,0,St Paul,MN,55116,2001
22284,0,1,Edina,MN,55436,2001
22319,0,1,St Louis Park,MN,55426,2000
22338,0,0,Crystal,MN,55427,2001
22373,0,1,Edina,MN,55439,2002
22385,0,0,Edina,MN,55424,2003
22386,0,1,Hopkins,MN,55305,2001
22477,0,1,Edina,MN,55436,2003
22485,0,1,Minneapolis,MN,55406,2003
22498,0,0,Edina,MN,55424,2002
22509,0,1,Crystal,MN,55427,2000
22514,0,0,Minneapolis,MN,55410,2003
22534,0,1,Edina,MN,55439,2003
22566,0,1,Edina,MN,55435,2003
22591,0,1,Bloomington,MN,55438,2002
22596,0,1,Eden Prairie,MN,55347,2002
22604,0,0,Robbinsdale,MN,55422,1999
22665,0,1,Minneapolis,MN,55405,2001
22707,0,0,Edina,MN,55436,1999
22792,0,0,St Louis Park,MN,55416,2001
22832,0,1,Edina,MN,55424,1999
22915,0,1,Edina,MN,55424,2002
22948,0,1,Edina,MN,55424,2002
22982,0,0,Edina,MN,55439,2001
23025,0,1,Minneapolis,MN,55410,2002
23029,0,0,Plymouth,MN,55442,2001
23040,0,1,St Louis Park,MN,55416,2003
23060,0,1,Minneapolis,MN,55410,2003
23061,0,1,Eden Prairie,MN,55344,2003
23190,0,1,Plymouth,MN,55447,2001
23193,0,1,St Paul,MN,55104,2003
23211,0,1,Minneapolis,MN,55416,2000
23295,0,1,Eden Prairie,MN,55347,2001
23338,0,1,Minneapolis,MN,55416,1999
23353,0,0,Bloomington,MN,55435,2000
23458,0,1,Edina,MN,55439,2003
23461,0,1,Minneapolis,MN,55410,1999
23488,0,0,Bloomington,MN,55437,2001
23492,0,1,Plymouth,MN,55447,2003
23531,0,1,Minneapolis,MN,55410,2002
23547,0,1,Golden Valley,MN,55422,1999
23572,0,1,Edina,MN,55439,2003
23647,0,1,Plymouth,MN,55441,2001
23683,0,1,Edina,MN,55439,2003
23713,0,0,Minneapolis,MN,55407,2003
23716,0,1,Edina,MN,55439,2000
23727,0,1,Chanhassen,MN,55317,2003
23755,0,1,Plymouth,MN,55446,2001
23776,0,0,Edina,MN,55424,2002
23789,0,1,Plymouth,MN,55442,2002
23795,0,1,Shorewood,MN,55331,2002
23839,0,0,Edina,MN,55436,2001
23844,0,1,Plymouth,MN,55447,2003
23859,0,1,Bloomington,MN,55431,2001
23868,0,1,Hopkings,MN,55305-4843,2003
23890,0,1,MINNETONKA,MN,55345,2001
