ScheduledRouteID,RouteID,DateScheduled,DateCompleted,Crew1,Crew2,Crew3,Crew4,Service_Region,ResultsEntered
193692,1665,2026-03-01 05:00:00,2026-03-01 05:00:00,13,0,0,0,1,1
193693,1666,2026-03-01 05:00:00,2026-03-01 05:00:00,13,0,0,0,1,1
193694,688,2026-03-01 05:00:00,2026-03-01 05:00:00,13,0,0,0,1,1
193695,1657,2026-03-01 05:00:00,2026-03-01 05:00:00,13,0,0,0,1,1
193687,1505,2026-03-04 05:00:00,2026-03-04 05:00:00,1528,0,0,0,1,1
193688,595,2026-03-04 05:00:00,2026-03-04 05:00:00,80,0,0,0,2,1
193689,978,2026-03-04 05:00:00,2026-03-04 05:00:00,439,0,0,0,1,1
193691,1562,2026-03-11 04:00:00,2026-03-11 04:00:00,75,0,0,0,1,1
193701,1015,2026-03-15 04:00:00,2026-03-15 04:00:00,1710,0,0,0,1,1
193702,1450,2026-03-15 04:00:00,2026-03-15 04:00:00,770,0,0,0,1,1
193703,922,2026-03-15 04:00:00,2026-03-15 04:00:00,1857,0,0,0,1,1
193704,908,2026-03-15 04:00:00,,394,0,0,0,1,0
193705,910,2026-03-15 04:00:00,2026-03-15 04:00:00,394,0,0,0,1,1
193706,1444,2026-03-15 04:00:00,2026-03-15 04:00:00,1862,0,0,0,1,1
193707,1458,2026-03-15 04:00:00,2026-03-15 04:00:00,1848,0,0,0,1,1
193708,836,2026-03-15 04:00:00,2026-03-15 04:00:00,282,0,0,0,1,1
193709,1545,2026-03-15 04:00:00,2026-03-15 04:00:00,1658,0,0,0,1,1
193710,918,2026-03-15 04:00:00,2026-03-15 04:00:00,1792,0,0,0,1,1
193711,896,2026-03-15 04:00:00,2026-03-15 04:00:00,1277,0,0,0,1,1
193712,911,2026-03-15 04:00:00,2026-03-15 04:00:00,1797,0,0,0,1,1
193713,917,2026-03-15 04:00:00,2026-03-15 04:00:00,1811,0,0,0,1,1
193714,1556,2026-03-15 04:00:00,2026-03-15 04:00:00,1447,0,0,0,1,1
193715,914,2026-03-15 04:00:00,2026-03-15 04:00:00,1808,0,0,0,1,1
193716,1668,2026-03-15 04:00:00,2026-03-15 04:00:00,439,1865,1869,0,1,1
193717,1558,2026-03-15 04:00:00,2026-03-15 04:00:00,439,1865,1869,0,1,1
193718,1380,2026-03-15 04:00:00,2026-03-15 04:00:00,1860,0,0,0,1,1
193719,688,2026-03-15 04:00:00,2026-03-15 04:00:00,635,0,0,0,1,1
193720,911,2026-03-15 04:00:00,2026-03-15 04:00:00,282,0,0,0,1,1
193721,896,2026-03-15 04:00:00,2026-03-15 04:00:00,1374,0,0,0,1,1
193722,1556,2026-03-15 04:00:00,2026-03-15 04:00:00,1447,0,0,0,1,1
193723,1444,2026-03-15 04:00:00,2026-03-15 04:00:00,1862,0,0,0,1,1
193724,1450,2026-03-15 04:00:00,2026-03-15 04:00:00,770,0,0,0,1,1
