ScheduledServiceID,ScheduledRouteID,LocServID,ServiceID,Status,TotalTime,MobileInput
3233519,193692,1014706,726,Done,0,0
3233520,193692,1018589,726,Done,0,0
3233521,193692,1014783,726,Done,0,0
3233522,193692,1018476,726,Done,0,0
3233523,193692,1017137,726,Done,0,0
3233524,193692,1021533,726,Done,0,0
3233525,193692,1021889,726,Done,0,0
3233526,193692,1015873,726,Done,0,0
3233527,193692,1016736,726,Done,0,0
3233528,193692,1014835,726,Done,0,0
3233529,193692,1016798,726,Done,0,0
3233530,193692,1014761,726,Done,0,0
3233531,193692,1021712,726,Done,0,0
3233532,193692,1020663,726,Done,0,0
3233533,193692,1021062,726,Done,0,0
3233534,193692,1019855,726,Done,0,0
3233535,193692,1016032,726,Done,0,0
3233536,193692,1021344,726,Done,0,0
3233537,193692,1021890,726,Done,0,0
3233538,193692,1019543,726,Done,0,0
3233539,193692,1014664,726,Done,0,0
3233540,193692,1020292,726,Done,0,0
3233541,193692,1016023,726,Done,0,0
3233542,193692,1018496,726,Done,0,0
3233543,193692,1015696,726,Done,0,0
3233544,193692,1020405,726,Done,0,0
3233545,193692,1014797,726,Done,0,0
3233546,193692,1021864,726,Done,0,0
3233547,193692,1015956,726,Done,0,0
3233548,193692,1016965,726,Done,0,0
3233549,193692,1021525,726,Done,0,0
3233550,193692,1016764,726,Done,0,0
3233551,193692,1019332,726,Done,0,0
3233552,193692,1021255,726,Done,0,0
3233553,193692,1018760,726,Done,0,0
3233554,193692,1017351,726,Done,0,0
3233555,193692,1015697,726,Done,0,0
3233556,193692,1021802,726,Done,0,0
3233557,193692,1021701,726,Done,0,0
3233558,193692,1016747,726,Done,0,0
3233559,193692,1019479,726,Done,0,0
3233560,193692,1021929,726,Done,0,0
3233561,193692,1016093,726,Done,0,0
3233562,193692,1021559,726,Done,0,0
3233563,193692,1016125,726,Done,0,0
3233564,193692,1014621,726,Done,0,0
3233565,193692,1017210,726,Done,0,0
3233566,193692,1014810,726,Done,0,0
3233567,193692,1021102,726,Done,0,0
3233568,193692,1018177,726,Done,0,0
3233569,193692,1015846,726,Done,0,0
3233570,193692,1021610,726,Done,0,0
3233571,193692,1015445,726,Done,0,0
3233572,193692,1016424,726,Done,0,0
3233573,193692,1016768,726,Done,0,0
3233574,193692,1021713,726,Done,0,0
3233575,193692,1020322,726,Done,0,0
3233576,193692,1014719,726,Done,0,0
3233577,193692,1020278,726,Done,0,0
3233578,193692,1021563,726,Done,0,0
